rank.['country', 'win_percentage']
1."['Asturias', 100.0]"
2."['Surrey', 100.0]"
3."['Maule Sur', 100.0]"
4."['Canary Islands', 75.0]"
5."['Yorkshire', 71.42857142857143]"
6."['Padania', 67.44186046511628]"
7."['Jersey', 67.07317073170732]"
8."['County of Nice', 66.66666666666666]"
9."['Parishes of Jersey', 66.66666666666666]"
10."['Biafra', 66.66666666666666]"
11."['Basque Country', 65.51724137931035]"
12."['Brazil', 63.980582524271846]"
13."['Andalusia', 61.53846153846154]"
14."['Rhodes', 61.111111111111114]"
15."['Crimea', 60.0]"
16."['Isle of Man', 59.183673469387756]"
17."['Northern Cyprus', 58.82352941176471]"
18."['Kernow', 58.333333333333336]"
19."['Spain', 58.2995951417004]"
20."['Germany', 57.98994974874372]"
21."['Cascadia', 57.14285714285714]"
22."['England', 57.04824976348155]"
23."['Iran', 56.015037593984964]"
24."['Argentina', 54.66019417475728]"
25."['Artsakh', 54.54545454545454]"
26."['Italy', 53.07328605200946]"
27."['South Korea', 52.68346111719606]"
28."['Czech Republic', 52.64705882352941]"
29."['Ynys Môn', 52.459016393442624]"
30."['Croatia', 52.31607629427793]"
31."['Isle of Wight', 52.27272727272727]"
32."['New Caledonia', 51.88284518828452]"
33."['Tahiti', 51.61290322580645]"
34."['Netherlands', 51.383874849578824]"
35."['Mexico', 51.05042016806722]"
36."['Russia', 50.83333333333333]"
37."['France', 50.56306306306306]"
38."['Australia', 50.09107468123861]"
39."['Brittany', 50.0]"
40."['Central Spain', 50.0]"
41."['Palau', 50.0]"
42."['Arameans Suryoye', 50.0]"
43."['Kárpátalja', 50.0]"
44."['Mapuche', 50.0]"
45."['Ivory Coast', 49.831649831649834]"
46."['Egypt', 49.71098265895954]"
47."['Portugal', 49.54545454545455]"
48."['Sweden', 49.20037629350894]"
49."['Japan', 48.34054834054834]"
50."['Iraqi Kurdistan', 48.148148148148145]"
51."['Guernsey', 48.05194805194805]"
52."['Saudi Arabia', 47.676161919040474]"
53."['Menorca', 47.61904761904761]"
54."['China PR', 47.487844408427875]"
55."['Scotland', 47.44525547445255]"
56."['Morocco', 47.44027303754266]"
57."['Ghana', 47.20496894409938]"
58."['Hungary', 47.02258726899384]"
59."['German DR', 46.97986577181208]"
60."['Nigeria', 46.94533762057878]"
61."['Yugoslavia', 46.36174636174636]"
62."['Uzbekistan', 45.9546925566343]"
63."['Serbia', 45.911949685534594]"
64."['Denmark', 45.714285714285715]"
65."['Åland Islands', 45.65217391304348]"
66."['Zambia', 45.14877102199224]"
67."['Iraq', 45.06802721088435]"
68."['Senegal', 45.06802721088435]"
69."['Martinique', 45.0]"
70."['Tamil Eelam', 45.0]"
71."['Ukraine', 44.983818770226534]"
72."['Czechoslovakia', 44.97991967871486]"
73."['South Africa', 44.52054794520548]"
74."['Galicia', 44.44444444444444]"
75."['Corsica', 44.44444444444444]"
