rank.['country', 'win_percentage']
1."['Taiwan', 100.0]"
2."['Myanmar', 100.0]"
3."['Indonesia', 100.0]"
4."['Czechoslovakia', 100.0]"
5."['Saudi Arabia', 100.0]"
6."['Bahrain', 100.0]"
7."['Belgium', 100.0]"
8."['Bulgaria', 100.0]"
9."['Antigua and Barbuda', 100.0]"
10."['Benin', 100.0]"
11."['Hungary', 100.0]"
12."['Guernsey', 100.0]"
13."['Cyprus', 100.0]"
14."['Slovenia', 100.0]"
15."['Guadeloupe', 100.0]"
16."['New Caledonia', 100.0]"
17."['Kazakhstan', 100.0]"
18."['Slovakia', 100.0]"
19."['Seychelles', 100.0]"
20."['Turkey', 100.0]"
21."['SÃ¡pmi', 100.0]"
22."['Ã…land Islands', 100.0]"
23."['South Ossetia', 100.0]"
24."['Padania', 100.0]"
25."['County of Nice', 100.0]"
26."['Basque Country', 100.0]"
27."['Vietnam', 100.0]"
28."['Western Armenia', 100.0]"
29."['Raetia', 100.0]"
30."['KÃ¡rpÃ¡talja', 100.0]"
31."['Western Isles', 100.0]"
32."['Greenland', 100.0]"
33."['Cape Verde', 100.0]"
34."['Kabylia', 100.0]"
35."['Northern Ireland', 100.0]"
36."['Scotland', 100.0]"
37."['Iceland', 100.0]"
38."['Puerto Rico', 100.0]"
39."['Ethiopia', 87.5]"
40."['Martinique', 83.33333333333334]"
41."['Panama', 83.33333333333334]"
42."['Iraq', 78.57142857142857]"
43."['Gambia', 75.0]"
44."['Togo', 75.0]"
45."['Germany', 75.0]"
46."['Guatemala', 75.0]"
47."['Oman', 75.0]"
48."['Ukraine', 75.0]"
49."['Guinea', 72.72727272727273]"
50."['Kenya', 71.42857142857143]"
51."['Angola', 70.0]"
52."['Sweden', 66.66666666666666]"
53."['Ecuador', 66.66666666666666]"
54."['Zanzibar', 66.66666666666666]"
55."['Poland', 66.66666666666666]"
56."['Botswana', 66.66666666666666]"
57."['Latvia', 66.66666666666666]"
58."['United Koreans in Japan', 66.66666666666666]"
59."['Argentina', 63.63636363636363]"
60."['Thailand', 62.5]"
61."['Brazil', 62.5]"
62."['Australia', 62.5]"
63."['Nigeria', 61.53846153846154]"
64."['Tunisia', 60.0]"
65."['Chad', 60.0]"
66."['Mozambique', 60.0]"
67."['Croatia', 60.0]"
68."['North Korea', 60.0]"
69."['Portugal', 60.0]"
70."['Egypt', 59.09090909090909]"
71."['Qatar', 57.14285714285714]"
72."['DR Congo', 57.14285714285714]"
73."['Honduras', 57.14285714285714]"
74."['South Korea', 56.52173913043478]"
75."['Eswatini', 55.55555555555556]"
76."['United States', 55.55555555555556]"
77."['Burkina Faso', 54.54545454545454]"
78."['Zambia', 54.166666666666664]"
79."['Spain', 53.84615384615385]"
80."['Colombia', 53.84615384615385]"
81."['Cameroon', 53.333333333333336]"
82."['Senegal', 52.94117647058824]"
83."['Mauritius', 50.0]"
84."['Malaysia', 50.0]"
85."['Vietnam Republic', 50.0]"
86."['Algeria', 50.0]"
87."['Ivory Coast', 50.0]"
88."['Italy', 50.0]"
89."['Fiji', 50.0]"
90."['Bolivia', 50.0]"
91."['Tanzania', 50.0]"
92."['Solomon Islands', 50.0]"
93."['Suriname', 50.0]"
94."['Czech Republic', 50.0]"
95."['Trinidad and Tobago', 50.0]"
96."['Haiti', 50.0]"
97."['United Arab Emirates', 50.0]"
98."['British Virgin Islands', 50.0]"
99."['Sri Lanka', 50.0]"
100."['Barbados', 50.0]"
101."['Lesotho', 50.0]"
102."['Ynys MÃ´n', 50.0]"
103."['Israel', 50.0]"
104."['Northern Cyprus', 50.0]"
105."['Menorca', 50.0]"
106."['Saint Lucia', 50.0]"
107."['Ellan Vannin', 50.0]"
108."['Aruba', 50.0]"
109."['Chile', 50.0]"
110."['Bosnia and Herzegovina', 50.0]"
111."['Panjab', 50.0]"
112."['Tajikistan', 50.0]"
113."['Saint Kitts and Nevis', 50.0]"
114."['Guyana', 50.0]"
115."['South Africa', 47.82608695652174]"
116."['Zimbabwe', 46.666666666666664]"
117."['Uruguay', 46.666666666666664]"
118."['Mexico', 46.15384615384615]"
119."['China PR', 44.44444444444444]"
120."['Paraguay', 42.857142857142854]"
121."['Japan', 41.66666666666667]"
122."['Mali', 41.17647058823529]"
123."['Uganda', 41.17647058823529]"
124."['Syria', 40.0]"
125."['France', 40.0]"
126."['Canada', 40.0]"
