rank.['country', 'wins']
1.['Argentina', 14]
2.['South Korea', 13]
3.['Zambia', 13]
4.['Egypt', 13]
5.['Iraq', 11]
6.['South Africa', 11]
7.['Thailand', 10]
8.['Kenya', 10]
9.['Brazil', 10]
10.['Senegal', 9]
11.['Guinea', 8]
12.['Nigeria', 8]
13.['Ivory Coast', 8]
14.['Cameroon', 8]
15.['Botswana', 8]
16.['Algeria', 7]
17.['Iran', 7]
18.['Mali', 7]
19.['Ethiopia', 7]
20.['Spain', 7]
21.['Angola', 7]
22.['Zimbabwe', 7]
23.['Uganda', 7]
24.['Colombia', 7]
25.['Italy', 7]
26.['Uruguay', 7]
27.['Tunisia', 6]
28.['Paraguay', 6]
29.['Burkina Faso', 6]
30.['Germany', 6]
31.['Mozambique', 6]
32.['Mexico', 6]
33.['Croatia', 6]
34.['Lesotho', 6]
35.['Padania', 6]
36.['Ghana', 5]
37.['Morocco', 5]
38.['Saudi Arabia', 5]
39.['Australia', 5]
40.['Eswatini', 5]
41.['United States', 5]
42.['Martinique', 5]
43.['Japan', 5]
44.['Panama', 5]
45.['Chile', 5]
46.['Syria', 4]
47.['Qatar', 4]
48.['Indonesia', 4]
49.['China PR', 4]
50.['Gabon', 4]
51.['France', 4]
52.['DR Congo', 4]
53.['Sweden', 4]
54.['Tanzania', 4]
55.['Honduras', 4]
56.['United Arab Emirates', 4]
57.['Namibia', 4]
58.['Latvia', 4]
59.['Malaysia', 3]
60.['Czechoslovakia', 3]
61.['Gambia', 3]
62.['Togo', 3]
63.['Chad', 3]
64.['Bahrain', 3]
65.['India', 3]
66.['England', 3]
67.['Benin', 3]
68.['Guatemala', 3]
69.['North Korea', 3]
70.['Malawi', 3]
71.['Kazakhstan', 3]
72.['Portugal', 3]
73.['Oman', 3]
74.['Ukraine', 3]
75.['Mauritius', 2]
76.['Sierra Leone', 2]
77.['Kuwait', 2]
78.['Belgium', 2]
79.['Canada', 2]
80.['Ecuador', 2]
81.['Denmark', 2]
82.['Switzerland', 2]
83.['Finland', 2]
84.['Antigua and Barbuda', 2]
85.['Zanzibar', 2]
86.['Suriname', 2]
87.['Russia', 2]
88.['Trinidad and Tobago', 2]
89.['Poland', 2]
90.['Rwanda', 2]
91.['Cyprus', 2]
92.['Guadeloupe', 2]
93.['Netherlands', 2]
94.['Slovakia', 2]
95.['Costa Rica', 2]
96.['Northern Cyprus', 2]
97.['Seychelles', 2]
98.['Ã…land Islands', 2]
99.['South Ossetia', 2]
100.['Ellan Vannin', 2]
101.['Vietnam', 2]
102.['Western Armenia', 2]
103.['United Koreans in Japan', 2]
104.['Abkhazia', 2]
105.['KÃ¡rpÃ¡talja', 2]
106.['Madagascar', 2]
107.['Peru', 2]
108.['Scotland', 2]
109.['Iceland', 2]
110.['Saint Kitts and Nevis', 2]
111.['Taiwan', 1]
112.['Singapore', 1]
113.['Myanmar', 1]
114.['Vietnam Republic', 1]
115.['Republic of Ireland', 1]
116.['Central African Republic', 1]
117.['Fiji', 1]
118.['Bolivia', 1]
119.['Bulgaria', 1]
120.['Solomon Islands', 1]
121.['Jamaica', 1]
122.['Czech Republic', 1]
123.['Sudan', 1]
124.['Haiti', 1]
125.['Cuba', 1]
126.['Hungary', 1]
127.['Romania', 1]
128.['British Virgin Islands', 1]
129.['Sri Lanka', 1]
130.['Barbados', 1]
131.['Libya', 1]
132.['Ynys MÃ´n', 1]
133.['Guernsey', 1]
134.['Slovenia', 1]
135.['Belarus', 1]
136.['Serbia', 1]
137.['Niger', 1]
138.['Bangladesh', 1]
139.['New Caledonia', 1]
140.['Hong Kong', 1]
141.['Israel', 1]
142.['Turkey', 1]
143.['SÃ¡pmi', 1]
144.['Menorca', 1]
145.['Saint Lucia', 1]
146.['Iraqi Kurdistan', 1]
147.['County of Nice', 1]
148.['Aruba', 1]
149.['Basque Country', 1]
150.['Bosnia and Herzegovina', 1]
151.['Raetia', 1]
152.['New Zealand', 1]
153.['Western Isles', 1]
154.['Greenland', 1]
155.['Cape Verde', 1]
156.['Kabylia', 1]
157.['Panjab', 1]
158.['Northern Ireland', 1]
159.['Equatorial Guinea', 1]
160.['Tajikistan', 1]
161.['Guyana', 1]
162.['Puerto Rico', 1]
