rank.['player', 'country', 'goals']
1.['Peter Ndlovu', 'Zimbabwe', 14]
2.['Agent Sawu', 'Zimbabwe', 7]
3.['Adam Ndlovu', 'Zimbabwe', 5]
4.['Vitalis Takawira', 'Zimbabwe', 5]
5.['Benjani Mwaruwari', 'Zimbabwe', 5]
6.['Knowledge Musona', 'Zimbabwe', 5]
7.['Shingayi Kaondera', 'Zimbabwe', 4]
8.['Kudakwashe Mahachi', 'Zimbabwe', 3]
9.['Bobby Chalmers', 'Zimbabwe', 2]
10.['Esrom Nyandoro', 'Zimbabwe', 2]
11.['Gilbert Mushangazhike', 'Zimbabwe', 2]
12.['Khama Billiat', 'Zimbabwe', 2]
13.['David Muchineripi', 'Zimbabwe', 1]
14.['Hamada Sedki', 'Zimbabwe', 1]
15.['Stanley Ndunduma', 'Zimbabwe', 1]
16.['Henry McKop', 'Zimbabwe', 1]
17.['Cloudious Zviripayi', 'Zimbabwe', 1]
18.['Kennedy Chihuri', 'Zimbabwe', 1]
19.['Edelbert Dinha', 'Zimbabwe', 1]
20.['Nqobizitha Ncube', 'Zimbabwe', 1]
21.['Luke Jukulile', 'Zimbabwe', 1]
22.['Edzai Kasinauyo', 'Zimbabwe', 1]
23.['Blessing Makunike', 'Zimbabwe', 1]
24.['Master Masiku', 'Zimbabwe', 1]
25.['Kaitano Tembo', 'Zimbabwe', 1]
26.['George Mbwando', 'Zimbabwe', 1]
27.['Joel Lupahla', 'Zimbabwe', 1]
28.['Slimane Raho', 'Zimbabwe', 1]
29.['Tinashe Nengomasha', 'Zimbabwe', 1]
30.['Ashley Rambanapasi', 'Zimbabwe', 1]
31.['Issah Gabriel Ahmed', 'Zimbabwe', 1]
32.['Cuthbert Malajila', 'Zimbabwe', 1]
33.['Lincoln Zvasiya', 'Zimbabwe', 1]
34.['Masimba Mambare', 'Zimbabwe', 1]
35.['Nyasha Mushekwi', 'Zimbabwe', 1]
36.['Tendai Ndoro', 'Zimbabwe', 1]
37.['Marshall Munetsi', 'Zimbabwe', 1]
38.['Admiral Muskwe', 'Zimbabwe', 1]
39.['Ishmael Wadi', 'Zimbabwe', 1]
40.['Kalusha Bwalya', 'Zambia', 19]
41.['Collins Mbesuma', 'Zambia', 10]
42.['Christopher Katongo', 'Zambia', 10]
43.['Godfrey Chitalu', 'Zambia', 8]
44.['Bernard Chanda', 'Zambia', 7]
45.['Dennis Lota', 'Zambia', 7]
46.['Jacob Mulenga', 'Zambia', 7]
47.['Johnson Bwalya', 'Zambia', 5]
48.['Kenneth Malitoli', 'Zambia', 5]
49.['Harry Milanzi', 'Zambia', 5]
50.['Fashion Sakala', 'Zambia', 5]
51.['Brighton Sinyangwe', 'Zambia', 4]
52.['Obby Kapita', 'Zambia', 4]
53.['Michael Chabala', 'Zambia', 4]
54.['Kelvin Mutale', 'Zambia', 4]
55.['Elijah Litana', 'Zambia', 4]
56.['James Chamanga', 'Zambia', 4]
57.['Emmanuel Mayuka', 'Zambia', 4]
58.['Emment Kapengwe', 'Zambia', 3]
59.['Joseph Mapulanga', 'Zambia', 3]
60.['Freddie Mwila', 'Zambia', 3]
61.['Moses Simwala', 'Zambia', 3]
62.['Simon Kaushi', 'Zambia', 3]
63.['Peter Kaumba', 'Zambia', 3]
64.['Rotson Kilambe', 'Zambia', 3]
65.['Chaswe Nsofwa', 'Zambia', 3]
66.['Elijah Tana', 'Zambia', 3]
67.['Gift Kampamba', 'Zambia', 3]
68.['Rainford Kalaba', 'Zambia', 3]
69.['Brian Mwila', 'Zambia', 3]
70.['Patson Daka', 'Zambia', 3]
71.['Willie Phiri', 'Zambia', 2]
72.['Alex Chola', 'Zambia', 2]
73.['Bizwell Phiri', 'Zambia', 2]
74.['Geofrey Munshya', 'Zambia', 2]
75.['Aaron Njovu', 'Zambia', 2]
76.['Lucky Msiska', 'Zambia', 2]
77.['Jones Chilengi', 'Zambia', 2]
78.['Derby Makinka', 'Zambia', 2]
79.['Charly Musonda', 'Zambia', 2]
80.['Webster Chikabala', 'Zambia', 2]
81.['Moses Chikwalakwala', 'Zambia', 2]
82.['Vincent Mutale', 'Zambia', 2]
83.['Andrew Tembo', 'Zambia', 2]
84.['Frazer Kamwandi', 'Zambia', 2]
85.['Jones Mwewa', 'Zambia', 2]
86.['Charles Lota', 'Zambia', 2]
87.['Dadley Fichite', 'Zambia', 2]
88.['Mumamba Numba', 'Zambia', 2]
89.['Ignatius Lwipa', 'Zambia', 2]
90.['Nchimunya Mweetwa', 'Zambia', 2]
91.['Felix Katongo', 'Zambia', 2]
92.['Winston Kalengo', 'Zambia', 2]
93.['Enock Mwepu', 'Zambia', 2]
94.['Sandy Kaposa', 'Zambia', 1]
95.['Dickson Makwaza', 'Zambia', 1]
96.['Burton Mugala', 'Zambia', 1]
97.['Boniface Simutowe', 'Zambia', 1]
98.['Jack Chamangwana', 'Zambia', 1]
99.['Patrick Phiri', 'Zambia', 1]
100.['Pele Kaimana', 'Zambia', 1]
101.['Emmanuel Musonda', 'Zambia', 1]
102.['Peter Fregene', 'Zambia', 1]
103.['Fanny Hangunyu', 'Zambia', 1]
104.['Witson Nyirenda', 'Zambia', 1]
105.['Linos Makwaza', 'Zambia', 1]
106.['Mumba Mwila', 'Zambia', 1]
107.['Albert Bwalya', 'Zambia', 1]
108.['Wisdom Mumba Chansa', 'Zambia', 1]
109.['Kenan Simambe', 'Zambia', 1]
110.['Timothy Mwitwa', 'Zambia', 1]
111.['Gibby Mbasela', 'Zambia', 1]
112.['Evans Sakala', 'Zambia', 1]
113.['Zeddy Saileti', 'Zambia', 1]
114.['Mordon Malitoli', 'Zambia', 1]
115.['Hillary Makasa', 'Zambia', 1]
116.['Mwape Miti', 'Zambia', 1]
117.['Tenant Chilumba', 'Zambia', 1]
118.['Masauso Tembo', 'Zambia', 1]
119.['Laughter Chilembe', 'Zambia', 1]
120.['Andrew Sinkala', 'Zambia', 1]
121.['Chalwe Kunda', 'Zambia', 1]
122.['Linos Chalwe', 'Zambia', 1]
123.['Francis Kasonde', 'Zambia', 1]
124.['Stophira Sunzu', 'Zambia', 1]
125.['Kennedy Mweene', 'Zambia', 1]
126.['Nathan Sinkala', 'Zambia', 1]
